name,type,location,address,distance,rating_gaode,rating_xhs,business_area
吉庆社区党员群众服务中心,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位|生活服务;生活服务场所;生活服务场所,"114.291039,30.587275",大智街办事处黄石路34号大智街,92,[],,大智路
丰巢快递柜(鑫成俊杰B座店),生活服务;物流速递;物流速递,"114.290080,30.586090",南京路178号鑫成俊杰B座F1层,96,3.7,,前进
中国电建地产·汉口公馆营销中心,生活服务;生活服务场所;生活服务场所,"114.289116,30.587195",京汉大道910号(循礼门地铁站H口步行250米),102,4.6,,江滩
耳暮里日式采耳按摩会社(循礼门店),生活服务;洗浴推拿场所;洗浴推拿场所,"114.288985,30.586947",京汉大道898号(循礼门地铁站H口步行240米),111,4.6,,大智路
俪扬沐足(汇通社区店),生活服务;洗浴推拿场所;洗浴推拿场所,"114.288950,30.586973",大智街道京汉大道898号2层,115,4.5,,前进
倾耳域语躺式采耳SPA馆(江汉路店),生活服务;洗浴推拿场所;洗浴推拿场所,"114.288947,30.586970",京汉大道898号一层17-19号,115,4.5,,大智路
Thai泰湄轻奢采耳SPA馆,生活服务;美容美发店;美容美发店,"114.288908,30.586919",南京路186号汇通社区(循礼门地铁站H口步行270米),119,3.9,,江滩
京东快递吉庆营业部(德润大厦店),生活服务;物流速递;物流速递,"114.291327,30.586540",黄石路9号德润大厦F1层,121,4.3,,前进
兔喜快递超市(崇善路店),生活服务;物流速递;物流速递,"114.290995,30.586027",崇善路与铭新街交叉口东60米,131,4.2,,前进
德邦物流(德润大厦店),生活服务;物流速递;物流速递,"114.290840,30.585927",吉庆街德润大厦底商,131,4.4,,大智路
睫毛弯弯美甲美睫专门店(江汉路店),生活服务;美容美发店;美容美发店,"114.290214,30.585728",铭新街20号(循礼门地铁站H口步行310米),136,4.0,,前进
工会户外职工爱心驿站(江岸区大智街道保成社区),生活服务;生活服务场所;生活服务场所,"114.289791,30.585751",铭新街16号(保成社区侧边),138,[],,大智路
新日电动车(汇通路店),生活服务;维修站点;维修站点,"114.290676,30.585727",榆荫里2号新日电动车,145,4.0,,大智路
Moon·月光不打烊换装自拍馆(鑫成大厦店),生活服务;摄影冲印店;摄影冲印,"114.289133,30.585941",鑫成大厦307(循礼门地铁站H口步行190米),148,3.7,,江滩
璇瑞玄乐综合服务中心,生活服务;生活服务场所;生活服务场所,"114.288601,30.586673",京汉大道904号(循礼门地铁站H口步行190米),151,[],,大智路
臻品足道(南京路店),生活服务;洗浴推拿场所;洗浴推拿场所,"114.289794,30.585596",南京路178号鑫成俊杰A座F2层,154,4.7,,前进
丰巢快递柜,生活服务;物流速递;物流速递,"114.291467,30.586117",吉庆街与崇善路交叉口北60米,156,[],,大智路
剧院村妈妈驿站,生活服务;生活服务场所;生活服务场所,"114.288775,30.587768",京汉大道与汇通路交叉口北80米,159,4.2,,大智路
至臻至美Hair salon(南京路店),生活服务;美容美发店;美容美发店,"114.289249,30.585735",南京路180号(循礼门地铁站H口步行210米),160,4.4,,江滩
菜鸟驿站(武汉剧院村10号店),生活服务;物流速递;物流速递,"114.288780,30.587790",球场街街道武汉剧院村10号楼一楼,160,[],,大智路
丰巢快递柜(鑫成俊杰店),生活服务;物流速递;物流速递,"114.289520,30.585602",南京路180号鑫成大厦丰巢柜,162,4.0,,大智路
美甲,生活服务;美容美发店;美容美发店,"114.290083,30.585490",铭新街20号(循礼门地铁站H口步行340米),162,3.4,,大智路
保成社区党员群众服务中心,生活服务;生活服务场所;生活服务场所,"114.289987,30.585489",鑫成俊杰A座西南门东60米,163,[],,江滩
俊华广告(铭新街),生活服务;生活服务场所;生活服务场所,"114.289970,30.585463",铭新街16号(循礼门地铁站H口步行320米),166,3.9,,大智路
顺丰速运(德润大厦店),生活服务;物流速递;物流速递,"114.291278,30.585793",黄石路9号德润大厦F1层,168,4.7,,大智路
武汉市再生资源回收体系建设工程绿色文明胡老幺再生资源回收站,生活服务;生活服务场所;生活服务场所,"114.288996,30.585789",南京路180号鑫成大厦(循礼门地铁站H口步行200米),170,3.8,,大智路
益足堂(德润社区二德里安全小区店),生活服务;洗浴推拿场所;洗浴推拿场所,"114.290847,30.585531",吉庆街47号德润社区二德里安全小区,171,3.6,,大智路
振宇图文快印(汇通社区店),生活服务;生活服务场所;生活服务场所,"114.288588,30.586164",南京路186附3号(循礼门地铁站H口步行130米),173,4.1,,江滩
易居房友(鑫成俊杰店),生活服务;中介机构;中介机构,"114.289451,30.585511",南京路178号鑫成俊杰F1层,173,3.8,,大智路
艺佳盲人按摩(南京路老店),生活服务;洗浴推拿场所;洗浴推拿场所,"114.289523,30.585475",南京路180号鑫成俊杰A座如家酒店雅堂小超旁上2层,175,4.5,,江滩
新振辉图文广告,生活服务;生活服务场所;生活服务场所,"114.291075,30.585567",南京路110号(循礼门地铁站H口步行450米),177,4.1,,江滩
C位发型工作室,生活服务;美容美发店;美容美发店,"114.291089,30.585542",汇通路30号,181,3.5,,前进
芭芭多芦荟专卖(安静社区店),购物服务;个人用品/化妆品店;其它个人用品店|生活服务;生活服务场所;生活服务场所,"114.290264,30.588587",安静社区东南2门旁(循礼门地铁站H口步行460米),182,3.7,,江滩
雁冠自行车电动车配件(南京路店),购物服务;专卖店;自行车专卖店|生活服务;维修站点;维修站点|汽车服务;汽车服务相关;汽车服务相关,"114.288483,30.586068",大智街办事处南京路121号,187,3.8,,江滩
捷柯房产(吉庆街店),生活服务;中介机构;中介机构,"114.291220,30.585460",汇通路20-1号(循礼门地铁站H口步行480米),195,3.7,,江滩
裁缝洗烫(安静社区店),生活服务;洗衣店;洗衣店,"114.289855,30.588699",球场街办事处黄石路安静小区24号,196,4.2,,江滩
小林电器废品回收,生活服务;生活服务场所;生活服务场所,"114.289235,30.588637",安静社区西南2门东南80米,206,3.9,,江滩
大智街阳光家园,商务住宅;住宅区;住宅小区|生活服务;生活服务场所;生活服务场所,"114.288693,30.585376",规划小区东南门旁(循礼门地铁站H口步行150米),224,[],,大智路
陕西专业修脚(福忠里店),生活服务;洗浴推拿场所;洗浴推拿场所,"114.291174,30.585127",吉庆街98号福忠里(循礼门地铁站H口步行470米),225,3.9,,江滩
泰宁社区服务站,生活服务;生活服务场所;生活服务场所,"114.288663,30.585368",大智街办事处泰宁街27号,226,3.9,,大智路
民生优能火瓶装气(吉庆街供应站),生活服务;生活服务场所;生活服务场所,"114.291879,30.585545",吉庆街102号,228,[],,大智路
永佳彩印(德安总理小区店),生活服务;生活服务场所;生活服务场所,"114.289309,30.585036",铭新街17-5号(循礼门地铁站H口步行230米),228,4.2,,江滩
星兰剑智慧驾校报名处,生活服务;生活服务场所;生活服务场所,"114.290784,30.588934",京汉大道827号附1号,228,3.8,,江滩
工会户外职工爱心驿站(江岸区大智街道泰宁社区),生活服务;生活服务场所;生活服务场所,"114.288484,30.585477",泰宁街27号(泰宁社区新时代文明实践站),229,[],,江滩
中通快递(安静社区店),生活服务;物流速递;物流速递,"114.290174,30.589020",安静社区(黄石路),230,4.1,,大智路
工会户外职工爱心驿站(江岸区球场街道同庆阁社区),生活服务;生活服务场所;生活服务场所,"114.290808,30.588964",京汉大道827号附3号(同庆阁社区一楼),232,[],,江滩
百住易房产(福忠里店),生活服务;中介机构;中介机构,"114.291422,30.585156",中山大道黄石路口崇善路9号,234,4.2,,江滩
雨林再生资源回收站(福忠里店),生活服务;生活服务场所;生活服务场所,"114.291039,30.584986",吉庆街94号(循礼门地铁站H口步行450米),234,3.8,,前进
21世纪不动产(铭新街店),生活服务;中介机构;中介机构,"114.292336,30.587910",铭新街与瑞祥路交叉口西南60米,235,3.7,,江滩
菜鸟驿站,生活服务;物流速递;物流速递,"114.292580,30.586622",吉庆街与瑞祥路交叉口西南60米,235,[],,大智路
干洗店,生活服务;洗衣店;洗衣店,"114.292260,30.585846",汇通路2号先锋里,236,3.6,,大智路
伊时代美容会所,生活服务;美容美发店;美容美发店,"114.291979,30.588433",瑞祥路与铭新街交叉口西80米,240,3.5,,大智路
汇通家电维修(福忠里店),生活服务;维修站点;维修站点,"114.291454,30.585098",汇通路15号附1号,241,4.4,,大智路
安静社区党员群众服务中心,生活服务;生活服务场所;生活服务场所,"114.289000,30.588883",安静社区西南2门旁(循礼门地铁站G口步行490米),241,[],,大智路
荣华房产(崇善路店),生活服务;中介机构;中介机构,"114.291914,30.585389",崇善路15号附3号,242,4.0,,江滩
中国体育彩票(福忠里店),生活服务;彩票彩券销售点;彩票彩券销售点,"114.291522,30.585076",汇通路福忠里,246,[],,前进
脚手架出租,生活服务;生活服务场所;生活服务场所,"114.291968,30.585359",崇善路15号附6号,248,4.3,,大智路
鑫新装饰,公司企业;公司;广告装饰|生活服务;生活服务场所;生活服务场所,"114.292439,30.588008",铭新街83号附4号,248,3.4,,大智路
家隆房产(汉港大厦店),生活服务;中介机构;中介机构,"114.292387,30.585800",汉港大厦D座,249,3.5,,江滩
菜鸟驿站(武汉安静社区17号店),生活服务;物流速递;物流速递,"114.289442,30.589126",安静社区(黄石路),251,4.3,,大智路
