name,type,location,address,distance,rating,business_area
丫米林小碗菜,餐饮服务;中餐厅;中餐厅,"114.289125,30.586296",汇通路义祥里小区16栋1楼1号,122,3.4,前进
蟹舍汤包管,餐饮服务;中餐厅;中餐厅,"114.290350,30.585834",湖北省武汉市江岸区铭新街24号,126,3.9,江滩
欧咕咕·碳炉牛杂煲(江汉路店),餐饮服务;中餐厅;中餐厅,"114.290047,30.585823",南京路180号鑫成大厦一层,126,4.9,江滩
老地方特色牛肉面馆(大智街店),餐饮服务;中餐厅;中餐厅,"114.290490,30.585834",大智街汇通路榆荫里2号附10号,128,4.4,江滩
铭新大饭店,餐饮服务;中餐厅;四川菜(川菜),"114.290008,30.585787",保成路与汇通路交叉口西南40米,130,4.8,江滩
骉一骉鲜货火锅食堂(江汉路文旅联名店),餐饮服务;中餐厅;火锅店,"114.288712,30.586717",京汉大道906号(循礼门地铁站H口步行200米),140,4.8,江滩
BETA贝塔,餐饮服务;糕饼店;糕饼店,"114.291020,30.587995",京汉大道与黄石路交叉口东120米,142,0.2,江滩
翻滚吧蛋炒饭(黄石路店),餐饮服务;快餐厅;快餐厅,"114.291540,30.586444",大智路街道黄石路9号,144,3.9,江滩
壹锅月·美蛙鱼头,餐饮服务;中餐厅;中餐厅,"114.289877,30.585670",保成路与南京路交叉口东北60米,145,4.8,江滩
吉润楼外卖柜,餐饮服务;中餐厅;中餐厅,"114.291228,30.586014",崇善路与吉庆街交叉口西北60米,146,3,江滩
三宝烧烤(德润大厦店),餐饮服务;中餐厅;中餐厅,"114.291563,30.586425",黄石路9号德润大厦F1层,147,3.9,江滩
潘小馆·湖北菜·老武汉藕汤(吉庆街店),餐饮服务;中餐厅;湖北菜(鄂菜),"114.290713,30.585688",汇通路15号附4(原湘味人家汇通路店),150,4.6,江滩
流浪乌龟·咖啡小酒馆(江汉路店),餐饮服务;中餐厅;中餐厅,"114.289775,30.585616",铭新街35号附1(循礼门地铁站H口步行300米),153,4.8,江滩
拐角碳烤(鑫成大厦店),餐饮服务;中餐厅;特色/地方风味餐厅,"114.289127,30.585884",南京路180号鑫成大厦(循礼门地铁站H口步行180米),154,4,江滩
厨艺堂·爱的就是长沙菜,餐饮服务;中餐厅;中餐厅,"114.291634,30.586366",大智街街道铭新街162号德润大厦,156,3.3,前进
肥婆烧烤溢涵店,餐饮服务;中餐厅;综合酒楼,"114.291639,30.586371",黄石路德润大厦裙楼一层108室(1-108-3),156,4.4,江滩
阿宝美食城(德润大厦店),餐饮服务;中餐厅;火锅店,"114.291673,30.586335",黄石路9号德润大厦F1层,161,3.8,大智路
小张烧烤(瑞祥路店),餐饮服务;中餐厅;特色/地方风味餐厅,"114.290816,30.588312",瑞祥路14号(循礼门地铁站H口步行430米),164,3.4,大智路
生活简餐,餐饮服务;中餐厅;中餐厅,"114.288735,30.586057",南京路186附8号(循礼门地铁站H口步行140米),168,3.4,大智路
唔家馄饨(汇通社区店),餐饮服务;中餐厅;中餐厅,"114.288807,30.585978",江岸区南京路186-11,168,3.8,大智路
阿猫帕尼尼三明治·牛肉汉堡·咖啡,餐饮服务;快餐厅;快餐厅,"114.290240,30.588508",安静社区(黄石路)(循礼门地铁站H口步行450米),173,[],江滩
成记汤包馆(崇善路店),餐饮服务;餐饮相关场所;餐饮相关,"114.290898,30.585535",汇通路15附7号(循礼门地铁站H口步行450米),173,4.3,江滩
人民公社湘菜馆,餐饮服务;中餐厅;湖南菜(湘菜),"114.291773,30.586241",基督教荣光堂西南门旁,174,3.9,大智路
炭火海鲜烧烤(鑫成俊杰店),餐饮服务;中餐厅;特色/地方风味餐厅,"114.289850,30.585396",铭新街16号(循礼门地铁站H口步行300米),175,3.9,江滩
福宝漠北羊肉(汉口店),餐饮服务;中餐厅;中餐厅,"114.289243,30.588329",黄石路101号(中国银行旁佳时得酒店一楼),176,4.7,大智路
四川宜宾燃面,餐饮服务;中餐厅;中餐厅,"114.289479,30.588438",安静社区西南2门东南120米,177,4,江滩
珠珠小吃,餐饮服务;中餐厅;中餐厅,"114.291136,30.585598",崇善路23号(循礼门地铁站H口步行460米),177,3.4,前进
