name,type,location,address,distance,rating,business_area
江岸区大智街泰宁社区卫生服务站,医疗保健服务;综合医院;卫生院,"114.289723,30.586486",大智街办事处汇通路49号,66,[],江滩
益丰大药房(武汉铭新街取货点),医疗保健服务;医药保健销售店;药房,"114.290224,30.585982",大智街南京路180号鑫成俊杰大厦1.2栋1层商业室,108,[],江滩
老百姓大药房(铭新街店),医疗保健服务;医药保健销售店;药房,"114.289925,30.585985",大智街南京路178号鑫成俊杰2栋1层,109,[],大智路
天济大药房(汇通路店),医疗保健服务;医药保健销售店;药房,"114.290732,30.586034",德润大厦裙楼1层2室102-2,116,[],大智路
健珍堂中医门诊,医疗保健服务;诊所;诊所,"114.288876,30.586937",京汉大道与汇通路交叉口西南20米,122,[],江滩
江岸鲍枫口腔诊所,医疗保健服务;专科医院;口腔医院,"114.291545,30.586439",武汉古玩城北门东60米,145,[],江滩
国药控股湖北汉口大药房有限公司,医疗保健服务;医药保健销售店;药房,"114.289791,30.588231",安静社区西南2门东南160米,146,[],江滩
国药控股汉口大药房重症取药点,医疗保健服务;医药保健销售店;药房,"114.289656,30.588264",黄石路与京汉大道交叉口西北40米,153,[],江滩
国大药房有限公司(安静社区店),医疗保健服务;医药保健销售店;药房,"114.289805,30.588303",安静社区东南2门旁(循礼门地铁站H口步行410米),153,[],大智路
国药中医馆,医疗保健服务;诊所;诊所,"114.289887,30.588357",黄石路安静村33号(循礼门地铁站H口步行400米),158,[],大智路
汉口大药房重症慢病医保定点药房,医疗保健服务;医药保健销售店;药房,"114.289753,30.588357",黄石路与京汉大道交叉口北40米,160,[],大智路
汉口大药房中医馆,医疗保健服务;医药保健销售店;药房,"114.289690,30.588363",球场街街道黄石路(循礼门地铁站H口步行420米),163,[],大智路
汉口大药房(黄石路店),医疗保健服务;医药保健销售店;药房,"114.289479,30.588438",京汉大道黄石路口安静小区33号楼1-3层,177,[],大智路
国大药房(安静社区店),医疗保健服务;医药保健销售店;药房,"114.289427,30.588449",安静社区西南2门东南110米,180,[],江滩
盛悦保健,医疗保健服务;医疗保健服务场所;医疗保健服务场所,"114.291121,30.585299",德润社区二德里安全小区东南门旁,206,3.7,江滩
老百姓大药房(安静社区店),医疗保健服务;医药保健销售店;药房,"114.289235,30.588637",安静小区6栋1层3室、4室、5室,206,[],大智路
江岸高凡生中医骨伤科诊所,医疗保健服务;专科医院;骨科医院|医疗保健服务;诊所;诊所,"114.291070,30.585262",德润社区二德里安全小区东南门旁,207,[],大智路
妍筱塑情趣成人用品,医疗保健服务;医疗保健服务场所;医疗保健服务场所,"114.289320,30.585080",德安总里小区东南门旁(循礼门地铁站H口步行240米),223,[],江滩
暮色情趣成人用品,医疗保健服务;医药保健销售店;医疗保健用品,"114.287577,30.586971",京汉大道与南京路交叉口西北60米,246,[],大智路
江岸张学炼中医康复诊所,医疗保健服务;诊所;诊所,"114.292491,30.585575",黄石路1号汉港大厦17楼,271,[],江滩
十八岁成人情趣用品店(武汉店),医疗保健服务;医药保健销售店;医疗保健用品,"114.288260,30.585120",穗丰大厦雅澜酒店207室(循礼门地铁站H口步行50米),272,[],前进
宫小燕(循礼门店),医疗保健服务;医药保健销售店;医疗保健用品,"114.289403,30.589366",解放南路与黄石路交叉口东北100米,277,[],大智路
好心康大药房(保成路店),医疗保健服务;医药保健销售店;药房,"114.288410,30.584899",保成路118号(循礼门地铁站H口步行100米),282,[],江滩
江岸区大智街北社区卫生服务中心,医疗保健服务;综合医院;卫生院,"114.288592,30.584734",保成路118号(循礼门地铁站H口步行120米),288,[],江滩
