Store Name,person Area Percentage (%),bicycle Area Percentage (%),car Area Percentage (%),motorcycle Area Percentage (%),backpack Area Percentage (%),tv Area Percentage (%),microwave Area Percentage (%),Building Area (%),Sky Area (%),Vegetation Area (%)
公共厕所,0.5599999999999999,0.0,0.0,0.37666666666666665,0.0,0.0,0.0,15.543333333333335,0.3466666666666667,6.801666666666667
公共厕所(中心百货江汉路店),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
公共厕所(大润发江汉店),0.0,0.0,0.0,0.0,0.0,47.645,0.0,33.685,0.0,0.0
公共厕所(装修中),1.57,0.0,6.641666666666667,0.0,0.0,0.0,0.0,5.816666666666666,5.533333333333334,1.06
武汉M+购物中心-女洗手间,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.09,0.0,0.0
武汉市中心医院(总院)母婴室,1.175,0.0,0.0,0.0,0.0,0.0,0.0,23.285,8.11,1.325
母婴室(M购物中心),0.0,0.0,0.0,0.0,0.0,3.055,7.195,0.185,3.045,0.32
洗手间,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.885,3.31,4.195
紧急避难场所(金灿家园东),0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,1.23,10.44
紧急避难场所(铭新街),0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.285,0.0,0.0
肯德基(新佳丽餐厅)-洗手间,0.95,0.0,0.0,0.0,0.0,0.0,0.0,29.805,0.175,0.0
长江报亭,0.66,1.5,0.1,0.0,0.0,0.0,0.0,0.035,4.19,2.59
麦当劳(中心百货店)-洗手间(内部专用),1.82,0.0,0.0,3.285,0.31,0.0,0.0,8.61,0.0,0.0
