name,type,location,address,distance,rating_gaode,rating_xhs,business_area
公共厕所,公共设施;公共设施;公共设施,"114.291286,30.588393",铭新巷18号,193,[],,大智路
公共厕所,公共设施;公共厕所;公共厕所,"114.288484,30.585382",交易街28号附近,236,[],,前进
公共厕所,公共设施;公共厕所;公共厕所,"114.292396,30.585737",吉庆街66号附近,254,[],,大智路
公共厕所,公共设施;公共厕所;公共厕所,"114.288870,30.589210",解放南路安静社区,279,[],,西马
武汉汇豪大酒店-洗手间,公共设施;公共厕所;公共厕所,"114.287285,30.586116",江汉路250号武汉汇豪大酒店3楼莱茵河西餐厅,289,[],,大智路
公共厕所,公共设施;公共厕所;公共厕所,"114.290435,30.584125",吉庆街保成社区-北区,315,[],,大智路
公共厕所,公共设施;公共厕所;公共厕所,"114.290335,30.584036",铭新街41号,325,[],,前进
公共厕所,公共设施;公共厕所;公共厕所,"114.290203,30.584020",[],326,[],,前进
公共厕所,公共设施;公共厕所;公共厕所,"114.289646,30.590283",安静后街2号2栋,373,[],,大智路
公共厕所,公共设施;公共厕所;公共厕所,"114.293954,30.587942",胜利街102号附近,380,[],,大智路
紧急避难场所(铭新街),公共设施;紧急避难场所;紧急避难场所,"114.294381,30.588097",铭新街208号,424,[],,大智路
公共厕所,公共设施;公共厕所;公共厕所,"114.285593,30.585754",江汉路循礼门站地铁站E口通道,456,[],,大智路
公共厕所(大润发江汉店),公共设施;公共厕所;公共厕所,"114.285860,30.585005",汉口江汉路257号1楼,464,[],,新华路
长江报亭,公共设施;公共设施;公共设施,"114.286154,30.584581",京汉大道与江汉路交叉口南约40米,465,[],,江滩
紧急避难场所(金灿家园东),公共设施;紧急避难场所;紧急避难场所,"114.285584,30.588621",渣家路126-128号附近,475,[],,建设大道
母婴室(M购物中心),公共设施;公共厕所;婴儿换洗间/哺乳室/母婴室,"114.286985,30.583442",江汉路187号M购物中心L3层,494,[],,前进
母婴室(M购物中心),公共设施;公共厕所;婴儿换洗间/哺乳室/母婴室,"114.286967,30.583453",江汉路187号M购物中心L4层,494,[],,前进
母婴室(M购物中心),公共设施;公共厕所;婴儿换洗间/哺乳室/母婴室,"114.286967,30.583453",江汉路187号M购物中心L5层,494,[],,前进
母婴室(M购物中心),公共设施;公共厕所;婴儿换洗间/哺乳室/母婴室,"114.286990,30.583423",江汉路187号M购物中心L2层,496,[],,前进
母婴室(M购物中心),公共设施;公共厕所;婴儿换洗间/哺乳室/母婴室,"114.286939,30.583439",江汉路187号M购物中心L6层,497,[],,前进
无障碍洗手间(M购物中心),公共设施;公共厕所;残障洗手间/无障碍洗手间,"114.286875,30.583396",江汉路187号M购物中心L2层,505,[],,前进
无障碍洗手间(M购物中心),公共设施;公共厕所;残障洗手间/无障碍洗手间,"114.286867,30.583400",江汉路187号M购物中心L5层,505,[],,前进
无障碍洗手间(M购物中心),公共设施;公共厕所;残障洗手间/无障碍洗手间,"114.286867,30.583400",江汉路187号M购物中心L3层,505,[],,前进
无障碍洗手间(M购物中心),公共设施;公共厕所;残障洗手间/无障碍洗手间,"114.286867,30.583400",江汉路187号M购物中心L4层,505,[],,前进
无障碍洗手间(M购物中心),公共设施;公共厕所;残障洗手间/无障碍洗手间,"114.286867,30.583400",江汉路187号M购物中心L6层,505,[],,前进
男洗手间(M购物中心),公共设施;公共厕所;男洗手间,"114.286849,30.583388",江汉路187号M购物中心L4层,507,[],,前进
男洗手间(M购物中心),公共设施;公共厕所;男洗手间,"114.286849,30.583388",江汉路187号M购物中心L3层,507,[],,前进
