name,type,location,address,distance,rating,business_area
玩得气球派对工作室,体育休闲服务;体育休闲服务场所;体育休闲服务场所,"114.289390,30.586593",义祥里9栋一楼(循礼门地铁站H口步行330米),83,3.6,大智路
杠上花新式棋牌,体育休闲服务;娱乐场所;棋牌室,"114.290934,30.586252",铭新街与崇善路交叉口东北60米,108,[],江滩
玖拾发棋牌,体育休闲服务;娱乐场所;棋牌室,"114.291148,30.586442",铭新街38号(循礼门地铁站H口步行470米),111,4.1,江滩
FAT TIGER深度体验密室,体育休闲服务;娱乐场所;娱乐场所,"114.290997,30.586080",铭新街与崇善路交叉口东60米,126,3.4,江滩
凑角·无人自助棋牌(德润大厦店),体育休闲服务;娱乐场所;棋牌室,"114.291215,30.586071",德润大厦古玩市场5楼(循礼门地铁站H口步行460米),141,4.2,江滩
武汉市江岸区乐淘淘休闲娱乐工作室,体育休闲服务;体育休闲服务场所;体育休闲服务场所,"114.289126,30.585897",南京路180号附2号,153,3.5,江滩
元泉瑜伽(黄石路店),体育休闲服务;运动场馆;健身中心,"114.291206,30.585879",黄石路德润大厦A座5层(循礼门地铁站H口步行470米),156,4.1,大智路
乐淘淘新式棋牌,体育休闲服务;娱乐场所;棋牌室,"114.289039,30.585816",南京路180附2号(循礼门地铁站H口步行200米),165,3.7,大智路
啤憩精酿啤酒屋(江汉路店),体育休闲服务;娱乐场所;酒吧,"114.288667,30.586107",南京路186号附4号(循礼门地铁站H口步行140米),170,4,江滩
7号店精酿啤酒(吉庆街店),体育休闲服务;娱乐场所;酒吧,"114.290990,30.585170",吉庆街45号(鲜鱼食堂旁),214,4.2,江滩
Gin Kids,体育休闲服务;娱乐场所;酒吧,"114.289144,30.585200",南京路115号附1墨西哥餐厅二楼,217,4.5,江滩
星星演艺剧场(武汉剧院店),体育休闲服务;影剧院;剧场,"114.287864,30.587468",解放大道1012号(武汉剧院里面),226,3.8,大智路
007私人影院·猫咖(江汉路Markmall店),体育休闲服务;影剧院;电影院,"114.288012,30.586072",世纪商厦7楼整层(循礼门地铁站H口步行70米),227,4.6,大智路
爱乐汇(武汉剧院店),体育休闲服务;体育休闲服务场所;体育休闲服务场所|科教文化服务;科教文化场所;科教文化场所,"114.287860,30.587536",解放大道1012号(循礼门地铁站E口步行380米),228,3.7,江滩
武汉剧院,体育休闲服务;影剧院;剧场,"114.287866,30.587565",解放大道1012号(市青少年宫对面),229,4.9,江滩
金顶棋牌,体育休闲服务;娱乐场所;棋牌室,"114.290550,30.589002",南京路鑫成俊杰A座停车场,231,3.8,西马
过把瘾棋牌室,体育休闲服务;体育休闲服务场所;体育休闲服务场所,"114.290990,30.584892",大智街街道吉庆街90号(循礼门地铁站H口步行440米),243,3.7,大智路
江岸区铭新社区养老院(燃料大楼店),体育休闲服务;度假疗养场所;疗养院,"114.292478,30.588083",铭新街93号燃料大楼F1层,256,[],大智路
野池精酿啤酒馆(江汉二路店),体育休闲服务;娱乐场所;酒吧,"114.292197,30.585438",崇善路与江汉二路交叉口西北40米,258,4.4,前进
中百生活剧场,体育休闲服务;影剧院;剧场,"114.289117,30.589154",解放南路与黄石路交叉口北60米,264,3.7,西马
月辰私人影院(循礼门店),体育休闲服务;影剧院;电影院,"114.287709,30.585780",京汉大道858号世纪商厦7层(循礼门地铁站H口旁),267,3.9,大智路
BEERNOW,体育休闲服务;娱乐场所;酒吧,"114.292838,30.586218",吉庆街与黄石路交叉口东80米,270,1.2,江滩
啤酒刺客,体育休闲服务;娱乐场所;酒吧,"114.292869,30.586185",吉庆街二期萤火虫影院号厅旁,274,4.4,江滩
空瓶子liveshow,体育休闲服务;娱乐场所;酒吧,"114.289109,30.589268",解放南路与黄石路交叉口北60米,276,3.4,大智路
梦剧院·沉浸式探案馆(汉港大厦D座店),体育休闲服务;娱乐场所;娱乐场所,"114.292475,30.585483",汉港大厦15层D、E座,276,4.2,大智路
开心麻花吉庆剧场,体育休闲服务;体育休闲服务场所;体育休闲服务场所,"114.292986,30.587617",瑞祥路12号汉口历史文化展示中心3楼,281,4.7,江滩
悠米私人影院,体育休闲服务;影剧院;电影院,"114.287565,30.585668",京汉大道世纪商厦3层(循礼门地铁站H口旁),286,4,江滩
星河私人影院(世纪商厦店),体育休闲服务;影剧院;电影院,"114.287554,30.585659",京汉大道世纪商厦3楼(循礼门地铁站H口步行110米),287,4.5,江滩
喝点吧·日咖夜酒,体育休闲服务;娱乐场所;酒吧,"114.293125,30.587288",瑞祥路八号,287,4.4,大智路
名港棋牌(吉庆民俗街店),体育休闲服务;娱乐场所;棋牌室,"114.293124,30.587295",大智街办事处瑞祥路8号,287,4,江滩
摩非电竞茶室(唐人店),体育休闲服务;娱乐场所;网吧,"114.290347,30.584304",吉庆街66号建华大厦2楼,295,4.1,大智路
摩非电竞茶室(江汉路店),体育休闲服务;娱乐场所;网吧,"114.290347,30.584300",吉庆街与南京路交叉口西南约40米,295,4.5,前进
三千铭灯剧本杀馆(建华大厦店),体育休闲服务;娱乐场所;娱乐场所,"114.290519,30.584276",大智街街道吉庆街66号建华大厦6楼608,300,4.3,江滩
三雀一棋牌,体育休闲服务;娱乐场所;棋牌室,"114.293304,30.587018",大智街道吉庆街143号附1号,302,4.4,江滩
红茶坊棋牌,体育休闲服务;娱乐场所;棋牌室,"114.293392,30.587013",吉庆街143号附3号,310,4,大智路
喵呜影咖,体育休闲服务;影剧院;电影院,"114.289234,30.584232",保成路114号2楼202号,315,4.8,大智路
云沐健身,体育休闲服务;运动场馆;健身中心,"114.293280,30.585918",辅义里东南门旁,321,3.7,大智路
萤火虫空间影城(吉庆街店),体育休闲服务;影剧院;电影院,"114.293315,30.585949",吉庆街二期1号楼商业第1-4层(德华楼旁),323,3.7,江滩
长聚棋牌,体育休闲服务;娱乐场所;棋牌室,"114.292245,30.589312",京汉大道1038附2(大智路地铁站G口步行450米),330,4.2,大智路
ULi尤里互动私人影院,体育休闲服务;体育休闲服务场所;体育休闲服务场所,"114.287217,30.585366",世纪大厦A座10(循礼门地铁站H口旁),331,3.1,前进
云尚空中花园酒廊,体育休闲服务;娱乐场所;酒吧,"114.292133,30.584489",汇通路3号,333,3.8,前进
大都汇舞厅,体育休闲服务;体育休闲服务场所;体育休闲服务场所,"114.293624,30.586198",江汉二路181号,343,4.8,大智路
锦福棋牌,体育休闲服务;娱乐场所;棋牌室,"114.293439,30.588210",铭新街与交易街交叉口西南40米,344,3.8,江滩
梦幻国度音乐吧,体育休闲服务;娱乐场所;KTV,"114.293639,30.586184",江汉二路181号,345,4.3,大智路
快乐码头(亚洲证券大厦店),体育休闲服务;娱乐场所;娱乐场所,"114.293640,30.586045",江汉二路181号,349,[],江滩
武汉欢乐迪娱乐有限公司,体育休闲服务;娱乐场所;KTV,"114.293674,30.586107",江汉二路181号亚洲证券大厦快乐码头4-5层,350,4.5,江滩
幻境实景剧本,体育休闲服务;娱乐场所;娱乐场所,"114.290922,30.583866",江汉二路与南京路交叉口西40米,351,[],江滩
麦兜棋牌,体育休闲服务;娱乐场所;棋牌室,"114.290434,30.590120",安静后街5号附11号1楼,353,3.6,大智路
街坊新式棋牌活动中心,体育休闲服务;娱乐场所;棋牌室,"114.293696,30.587851",景福小区东门旁,354,3.6,大智路
超萌电玩社PS5·Switch,体育休闲服务;娱乐场所;娱乐场所,"114.287001,30.585196",世纪大厦12A(周黑鸭旁上12楼),359,4.3,大智路
即见解忧馆,体育休闲服务;体育休闲服务场所;体育休闲服务场所,"114.286925,30.585275",京汉大道与保成路交叉口西南60米(循礼门地铁站J口旁),361,1.1,大智路
触电网吧·棋牌,体育休闲服务;体育休闲服务场所;体育休闲服务场所,"114.293911,30.586552",吉庆街160号2层,363,4.3,大智路
球小闲24小时自助台球(吉庆街店),体育休闲服务;运动场馆;台球厅,"114.293843,30.586116",江汉二路181号3层1室(欢乐迪KTV3楼),365,4.2,江滩
