name,type,location,address,distance,rating,business_area
武汉卫戍司令部旧址,风景名胜;风景名胜;风景名胜,"114.290205,30.585727",铭新街18号(循礼门地铁站H口步行350米),136,3.7,大智路
武汉市基督教荣光堂,风景名胜;风景名胜;教堂,"114.291771,30.586677",黄石路26号,158,4.5,大智路
菩提座下禅,风景名胜;风景名胜相关;旅游景点,"114.291613,30.586274",黄石路9附3号老汉口私人珍藏会馆2层,159,1,前进
吴佩孚公馆旧址,风景名胜;风景名胜相关;旅游景点,"114.290125,30.585061",南京路124号(循礼门地铁站H口步行320米),210,4.4,大智路
南京路113号旧址,风景名胜;风景名胜相关;旅游景点,"114.289651,30.585075",南京路113号(循礼门地铁站H口步行290米),214,3.5,江滩
汉口中共中央宣传部旧址,风景名胜;风景名胜;红色景区|风景名胜;风景名胜相关;旅游景点,"114.292638,30.586450",吉庆街与黄石路交叉口东北60米,244,3.9,大智路
西蜀杨公馆,风景名胜;风景名胜;风景名胜,"114.292855,30.587495",瑞祥路与吉庆街交叉口北60米,266,3.4,大智路
武汉卫戍司令部军法处旧址,风景名胜;风景名胜相关;旅游景点,"114.289140,30.584536",铭新街8号(循礼门地铁站H口步行180米),285,3.3,大智路
华商总会旧址,风景名胜;风景名胜相关;旅游景点,"114.292105,30.584937",江汉二路157号,292,3.6,大智路
鼎新里旧址,风景名胜;风景名胜相关;旅游景点,"114.289686,30.584225",吉庆街与保成路交叉口北40米,306,1,江滩
梵灵泰国佛堂,风景名胜;风景名胜;寺庙道观,"114.292172,30.589249",京汉街42号(大智路地铁站G口步行460米),320,3.6,江滩
大福里,风景名胜;风景名胜;风景名胜,"114.288191,30.584084",铭新街5号(循礼门地铁站H口步行230米),370,3.2,前进
汉口历史文化风貌区,风景名胜;风景名胜相关;旅游景点,"114.293873,30.585986",吉庆民俗街05-105号,372,4.4,江滩
楚光日报社旧址,风景名胜;风景名胜;风景名胜,"114.288073,30.583955",铭新街1号(循礼门地铁站H口步行230米),388,2.7,大智路
汉口民国日报社旧址,风景名胜;风景名胜;风景名胜,"114.287605,30.584142",泰宁街2-附1号(循礼门地铁站J口步行190米),396,3.6,江滩
吉庆民俗街,购物服务;特色商业街;特色商业街|风景名胜;风景名胜相关;旅游景点,"114.294004,30.585602",大智街街道中山大道677号(大智路口),398,4.6,大智路
江汉路中心广场,风景名胜;公园广场;城市广场,"114.286637,30.584979",京汉大道与江汉路交叉口东20米(循礼门地铁站J口旁),402,4.4,大智路
百年江滩园区,风景名胜;风景名胜;风景名胜,"114.292801,30.584121",保华街2号附7号,404,4.3,前进
金城银行,风景名胜;风景名胜;风景名胜,"114.292969,30.583749",保华街2附9附近(江汉路地铁站E口步行470米),447,4,大智路
汉口盐业银行大楼,风景名胜;风景名胜;风景名胜,"114.294608,30.585435",中山大道988号,459,4.2,江滩
汉口盐业银行大楼旧址,风景名胜;风景名胜相关;旅游景点,"114.294698,30.585461",中山大道988号,466,3.8,江滩
保华街1-31号旧址,风景名胜;风景名胜;风景名胜,"114.292590,30.583069",保华街(江汉路地铁站E口步行380米),491,3.8,大智路
政和广场,风景名胜;公园广场;城市广场,"114.295377,30.587040",大智街办事处中山大道707号,501,3.9,大智路
中国国货银行汉口分行旧址,风景名胜;风景名胜相关;旅游景点,"114.292629,30.582889",中山大道635号(江汉路地铁站E口步行340米),510,3.7,前进
武汉·3D裸眼飞跃黄鹤楼,风景名胜;风景名胜相关;旅游景点,"114.286551,30.583465",江汉路步行街M+购物中心5楼,519,3.8,江滩
汉口西门子洋行旧址,风景名胜;风景名胜相关;旅游景点,"114.295525,30.586242",中山大道1004号,521,4.2,江滩
大陆坊旧址,风景名胜;风景名胜相关;旅游景点,"114.292942,30.582719",中山大道928(江汉路地铁站A口步行290米),541,4.2,江滩
汉口电话局旧址,风景名胜;风景名胜;风景名胜,"114.295865,30.586757",合作路51号,548,4.5,大智路
大陆银行旧址,风景名胜;风景名胜;风景名胜,"114.293293,30.582737",南京路53号(江汉路地铁站A口步行390米),557,3.3,大智路
聚兴诚银行,风景名胜;风景名胜;风景名胜,"114.290399,30.581879",江汉路116号(江汉路地铁站E口步行250米),565,3.5,前进
永泰和烟草公司旧址,风景名胜;风景名胜相关;旅游景点,"114.293438,30.582633",南京路49号(江汉路地铁站A口步行420米),574,3.5,大智路
英文楚报馆旧址,风景名胜;风景名胜;纪念馆,"114.295810,30.584447",胜利街77号,609,4.4,大智路
邹庆孚金号旧址,风景名胜;风景名胜;风景名胜,"114.290456,30.581401",江汉路步行街3楼,618,2.9,前进
红色印记文化长廊,风景名胜;风景名胜相关;旅游景点,"114.290734,30.581350",江汉路步行街109-110之间,626,3.7,前进
非常台北旧址,风景名胜;风景名胜相关;旅游景点,"114.292432,30.581571",中山大道与保成路交叉口东南20米,637,3.7,大智路
汉口商业银行大楼旧址,风景名胜;风景名胜相关;旅游景点,"114.294481,30.582486",南京路64号(江汉路地铁站D口步行420米),647,3.7,大智路
湖北共进会旧址,风景名胜;风景名胜相关;旅游景点,"114.296926,30.586661",一元街办事处胜利街123号(兰陵大公馆内),650,3.9,大智路
汉口领导人住地旧址,风景名胜;风景名胜;红色景区,"114.296754,30.585369",胜利街22号,656,4,大智路
广东银行旧址,风景名胜;风景名胜相关;旅游景点,"114.292635,30.581346",中山大道与保成路交叉口东南40米,668,4.5,江滩
中央信托局汉口分局,风景名胜;风景名胜;风景名胜,"114.292280,30.581220",中山大道908号(江汉路地铁站A口步行140米),670,3.7,大智路
汉口中华全国总工会旧址纪念馆,风景名胜;风景名胜;红色景区|风景名胜;风景名胜;风景名胜,"114.295496,30.590841",友益街16号(大智路地铁站A口步行220米),670,4.6,江滩
水塔街夜市(立志巷店),餐饮服务;中餐厅;中餐厅|风景名胜;风景名胜相关;旅游景点,"114.288114,30.581188",立志巷(江汉路地铁站G口步行370米),670,4.3,前进
广东银行汉口分行,风景名胜;风景名胜;风景名胜,"114.292789,30.581322",中山大道与扬子街交叉口南100米,675,4.1,江滩
